iter	Logloss
0	0.6751807203
1	0.6506357202
2	0.6359990081
3	0.6252706558
4	0.6136143137
5	0.608802821
6	0.6039042253
7	0.6000151226
8	0.5956631411
9	0.5936867276
10	0.5888935687
11	0.5872890517
12	0.5849813349
13	0.5838479739
14	0.5812601596
15	0.5798090282
16	0.5787323492
17	0.5782380484
18	0.5771565412
19	0.5758571334
20	0.5750983705
21	0.5739483944
22	0.5736279789
23	0.5729697092
24	0.5719836427
25	0.5713817627
26	0.5706574281
27	0.5699293611
28	0.5698196989
29	0.5692849024
30	0.568409593
31	0.5678647705
32	0.5666763456
33	0.564200406
34	0.5634980194
35	0.5633291218
36	0.5628607272
37	0.5626847471
38	0.562160009
39	0.5619543308
40	0.5598517054
41	0.5597819846
42	0.5596113343
43	0.5593688086
44	0.5592983433
45	0.5591521761
46	0.5589931422
47	0.5587082766
48	0.5585278575
49	0.5584358085
50	0.5583671774
51	0.5582465943
52	0.5582341499
53	0.5581842019
54	0.558160889
55	0.5581193453
56	0.5578728631
57	0.5577727871
58	0.5577635952
59	0.5575683919
60	0.5573598721
61	0.5571761398
62	0.5571725926
63	0.5570075319
64	0.5567410404
65	0.556661777
66	0.5566487438
67	0.5565506165
68	0.5564756925
69	0.5563634621
70	0.5563198115
71	0.5562032185
72	0.5561294416
73	0.5561059456
74	0.5560609934
75	0.5557882136
76	0.555742265
77	0.5557137776
78	0.5555311924
79	0.5553805659
80	0.5553699235
81	0.5552378066
82	0.5552378057
83	0.5551844369
84	0.5547200682
85	0.5546976275
86	0.5546752449
87	0.5546619579
88	0.5546099398
89	0.5545957626
90	0.5545619594
91	0.554532635
92	0.5544921412
93	0.5543137946
94	0.5542878382
95	0.5542463741
96	0.5541930203
97	0.5541758119
98	0.5541153005
99	0.5540774077
100	0.5540428182
101	0.5537261319
102	0.553572591
103	0.5535716669
104	0.5535292666
105	0.5534684053
106	0.5534460558
107	0.5533626731
108	0.5533548578
109	0.5532170319
110	0.5531234129
111	0.5530482292
112	0.5529787589
113	0.5529787545
114	0.5529768694
115	0.5528760819
116	0.552870102
117	0.5528286297
118	0.5527957718
119	0.5527456938
120	0.5527070949
121	0.552627195
122	0.5525481824
123	0.552504541
124	0.5524414848
125	0.5524046316
126	0.552323197
127	0.5522600872
128	0.5522540225
129	0.552242219
130	0.552233149
131	0.5522086369
132	0.5521326105
133	0.5519916068
134	0.5519446776
135	0.551899979
136	0.5517553877
137	0.5517253722
138	0.5516446151
139	0.55142075
140	0.5513565061
141	0.5513346331
142	0.5512092676
143	0.5511861486
144	0.5511751163
145	0.55115869
146	0.5510699881
147	0.550799102
148	0.5507524525
149	0.5507298101
150	0.550696892
151	0.5506662457
152	0.5506656208
153	0.5506227031
154	0.5506115567
155	0.5505993841
156	0.5505035804
157	0.5504401417
158	0.5503698719
159	0.5502877675
160	0.5502634524
161	0.5502142895
162	0.5501969323
163	0.5501684851
164	0.5500241902
165	0.5499914256
166	0.5499550236
167	0.549920724
168	0.5499053397
169	0.5498961626
170	0.5498756119
171	0.5498676904
172	0.5498229753
173	0.5498043633
174	0.549691849
175	0.5496397536
176	0.5495432017
177	0.5494228254
178	0.5493804876
179	0.5493704504
180	0.5493548694
181	0.5492628055
182	0.5492628017
183	0.5492387513
184	0.549191398
185	0.5491446524
186	0.5491367362
187	0.5490991625
188	0.5490106619
189	0.548974501
190	0.5489504736
191	0.5488973594
192	0.5486628115
193	0.548513391
194	0.5485068641
195	0.5484782516
196	0.5483613002
197	0.5482561541
198	0.5482234296
199	0.5482012839
200	0.5481436357
201	0.5480163883
202	0.5479509398
203	0.5479026184
204	0.5478424747
205	0.5478336709
206	0.5478211546
207	0.5477912039
208	0.5477166739
209	0.5475937042
210	0.5475847458
211	0.5474878832
212	0.5474591595
213	0.5474422953
214	0.547411995
215	0.5473650667
216	0.5472179307
217	0.5472050809
218	0.54718992
219	0.5471406207
220	0.5471348308
221	0.5471225802
222	0.5471134678
223	0.5470658883
224	0.5470071342
225	0.5467594185
226	0.5467381349
227	0.5466975353
228	0.5466399184
229	0.5465543764
230	0.5464944679
231	0.5464895947
232	0.546368446
233	0.5463680731
234	0.5463295611
235	0.5462938379
236	0.5461948863
237	0.5461895458
238	0.5461678877
239	0.5461047176
240	0.5460605924
241	0.5460450823
242	0.5459679996
243	0.545953047
244	0.5459173211
245	0.545886345
246	0.5458124485
247	0.545761317
248	0.5457301003
249	0.5457129746
250	0.5456267073
251	0.5455859417
252	0.5454824937
253	0.5454204566
254	0.5453993595
255	0.5453443102
256	0.5452781138
257	0.5452586352
258	0.54515163
259	0.5450205062
260	0.5449189732
261	0.5448886739
262	0.5448616572
263	0.5448530618
264	0.5448472598
265	0.5447346956
266	0.5446733115
267	0.5446321914
268	0.5445962137
269	0.5445526626
270	0.5445462541
271	0.5444721851
272	0.5444558848
273	0.544433927
274	0.5444294759
275	0.5443948904
276	0.5443636609
277	0.5443502927
278	0.544303342
279	0.5442873583
280	0.5441451038
281	0.5441195535
282	0.5440275609
283	0.543932607
284	0.543925394
285	0.5438558229
286	0.5437096281
287	0.5437044787
288	0.5436896403
289	0.5436592317
290	0.543605955
291	0.5435513228
292	0.5434629497
293	0.5433962999
294	0.5432320174
295	0.5432291956
296	0.5431867589
297	0.543147789
298	0.5430967503
299	0.5430668428
300	0.5429731639
301	0.5429136218
302	0.5428608917
303	0.5428592658
304	0.5427954725
305	0.542773336
306	0.5427523199
307	0.5426544379
308	0.5426224792
309	0.5425492025
310	0.5425317213
311	0.542512288
312	0.542498882
313	0.5424765198
314	0.5424639788
315	0.5423576788
316	0.5423156155
317	0.5422935247
318	0.5421403438
319	0.542123261
320	0.5420678098
321	0.5420297445
322	0.5419726569
323	0.5418923277
324	0.5417553609
325	0.5417099151
326	0.5416855805
327	0.5416505055
328	0.5415456817
329	0.5415065198
330	0.5414813825
331	0.5414415913
332	0.5413973147
333	0.5413873387
334	0.5412857287
335	0.5412440496
336	0.5412268216
337	0.541216783
338	0.5411998758
339	0.5411975071
340	0.5411235427
341	0.5410382314
342	0.5410181235
343	0.541000404
344	0.5408872237
345	0.5408270033
346	0.540798609
347	0.5407638937
348	0.5407404324
349	0.5407297505
350	0.5406384442
351	0.540603105
352	0.5405573405
353	0.540517883
354	0.5404980865
355	0.5404665809
356	0.5404535641
357	0.5404363849
358	0.5404309199
359	0.5403264656
360	0.540312836
361	0.5403035416
362	0.54027114
363	0.5402539421
364	0.5401992422
365	0.540147587
366	0.5401141495
367	0.5400444079
368	0.5400055878
369	0.5399101721
370	0.5398608276
371	0.5398402714
372	0.5398188531
373	0.5397852275
374	0.5396834171
375	0.5396674125
376	0.5396425731
377	0.5395732893
378	0.5394565747
379	0.5393580445
380	0.5393287491
381	0.5392968038
382	0.5392895923
383	0.53924465
384	0.5392379654
385	0.5392082569
386	0.5391644294
387	0.5391402123
388	0.5391296706
389	0.5390930862
390	0.5390500461
391	0.5390171167
392	0.5389651576
393	0.5389506195
394	0.538849992
395	0.5388160117
396	0.5387892762
397	0.5387801247
398	0.5387589246
399	0.5386339501
400	0.5386080064
401	0.5385788513
402	0.5385678953
403	0.5385662501
404	0.538537606
405	0.5384868245
406	0.5384486097
407	0.5383938942
408	0.538347452
409	0.5382861777
410	0.5382781476
411	0.5382494404
412	0.5382177322
413	0.5381896205
414	0.5381574303
415	0.538103141
416	0.5380418868
417	0.5379984357
418	0.5379428572
419	0.5378894362
420	0.5378631762
421	0.5377908553
422	0.5377669264
423	0.5377274808
424	0.5376646031
425	0.5376109964
426	0.537458053
427	0.5374532082
428	0.5374426022
429	0.5373697058
430	0.5373295588
431	0.5373123109
432	0.5372740381
433	0.5372264777
434	0.5371584793
435	0.5371143837
436	0.5370967012
437	0.537065078
438	0.5370446882
439	0.5369732056
440	0.5369402439
441	0.5368991051
442	0.5368857553
443	0.5368724245
444	0.5368346029
445	0.5368287269
446	0.536816112
447	0.5368076235
448	0.5368022921
449	0.5367751306
450	0.5367519821
451	0.5366589548
452	0.536649326
453	0.5365900353
454	0.5365882767
455	0.5365454424
456	0.5364238973
457	0.5364007664
458	0.5363638468
459	0.5363492928
460	0.5363353387
461	0.5363197971
462	0.536223274
463	0.5362097944
464	0.5361222315
465	0.5361093486
466	0.5360480758
467	0.5360254807
468	0.5359842205
469	0.5359003544
470	0.5357954052
471	0.5357703385
472	0.5357620772
473	0.535718023
474	0.5356678771
475	0.5356520522
476	0.5356179608
477	0.5355962041
478	0.5355622836
479	0.5354935617
480	0.535385841
481	0.5353577898
482	0.5353386991
483	0.5352788509
484	0.5352313415
485	0.5352041219
486	0.5351817869
487	0.5351608378
488	0.5351501516
489	0.5351193
490	0.5350527198
491	0.5350102148
492	0.5349988192
493	0.5349793371
494	0.5349248834
495	0.534911778
496	0.5348996458
497	0.5348550489
498	0.5348219817
499	0.5347786706
500	0.5347469075
501	0.5347266121
502	0.5346886857
503	0.5346712815
504	0.5346096479
505	0.5345510669
506	0.5345230692
507	0.5344950351
508	0.5344454011
509	0.5344188094
510	0.5343013893
511	0.5342782154
512	0.5342589135
513	0.5342389581
514	0.534170765
515	0.5341579188
516	0.5341363565
517	0.5341201091
518	0.5340967607
519	0.5340546603
520	0.5340345013
521	0.534011549
522	0.5340079522
523	0.5339845582
524	0.5339363823
525	0.5339199324
526	0.5338817933
527	0.5338783093
528	0.5337543443
529	0.533721272
530	0.5336958377
531	0.5336199647
532	0.5335535938
533	0.5335341718
534	0.5334992059
535	0.533391649
536	0.5333050116
537	0.5331844885
538	0.5331668202
539	0.5331369929
540	0.533100666
541	0.5330434429
542	0.5329838018
543	0.5329799619
544	0.5329536836
545	0.5328594781
546	0.5328570326
547	0.5328138491
548	0.5327819736
549	0.5327663634
550	0.5327519176
551	0.5327508109
552	0.532674468
553	0.5326445762
554	0.5325999053
555	0.5325265826
556	0.5324998839
557	0.5323644627
558	0.5323534821
559	0.5323335132
560	0.5323040612
