iter	Passed	Remaining
416	11406	15947
417	11434	15920
418	11458	15889
419	11489	15865
420	11518	15840
421	11545	15812
422	11573	15787
423	11600	15759
424	11622	15724
425	11644	15690
426	11662	15650
427	11687	15619
428	11711	15587
429	11734	15555
430	11758	15523
431	11784	15494
432	11808	15463
433	11830	15428
434	11861	15406
435	11893	15384
436	11923	15361
437	11951	15334
438	11974	15302
439	12001	15274
440	12023	15240
441	12046	15208
442	12070	15176
443	12095	15146
444	12123	15120
445	12152	15095
446	12176	15063
447	12210	15044
448	12241	15022
449	12270	14996
450	12300	14972
451	12325	14943
452	12351	14914
453	12368	14875
454	12391	14842
455	12414	14810
456	12440	14781
457	12464	14751
458	12492	14723
459	12520	14698
460	12540	14661
461	12566	14633
462	12594	14607
463	12626	14585
464	12652	14556
465	12674	14524
466	12699	14494
467	12726	14466
468	12745	14430
469	12767	14397
470	12784	14358
471	12817	14338
472	12842	14309
473	12867	14278
474	12895	14253
475	12925	14228
476	12953	14202
477	12983	14178
478	13005	14146
479	13040	14127
480	13063	14095
481	13088	14065
482	13112	14035
483	13132	14000
484	13167	13981
485	13196	13956
486	13225	13931
487	13254	13905
488	13279	13876
489	13304	13847
490	13329	13818
491	13359	13793
492	13383	13763
493	13423	13749
494	13451	13723
495	13484	13701
496	13513	13677
497	13538	13647
498	13560	13615
499	13582	13582
500	13606	13552
501	13630	13521
502	13655	13492
503	13679	13462
504	13699	13428
505	13730	13404
506	13749	13369
507	13773	13339
508	13796	13308
509	13824	13282
510	13852	13256
511	13884	13233
512	13915	13210
513	13947	13187
514	13971	13157
515	13995	13128
516	14019	13097
517	14048	13071
518	14082	13051
519	14117	13031
520	14150	13009
521	14179	12984
522	14207	12958
523	14230	12927
524	14255	12897
525	14282	12870
526	14309	12843
527	14338	12817
528	14367	12792
529	14399	12769
530	14427	12742
531	14452	12713
532	14474	12682
533	14501	12654
534	14527	12627
535	14554	12599
536	14580	12571
537	14610	12546
538	14636	12518
539	14662	12490
540	14688	12462
541	14715	12435
542	14740	12406
543	14764	12376
544	14789	12347
545	14811	12315
546	14834	12285
547	14858	12255
548	14883	12226
549	14911	12200
550	14938	12172
551	14967	12147
552	14995	12120
553	15027	12097
554	15057	12073
555	15086	12047
556	15115	12022
557	15147	11998
558	15174	11971
559	15200	11943
560	15223	11912
561	15245	11882
562	15271	11853
563	15298	11826
564	15332	11804
565	15359	11777
566	15389	11752
567	15419	11727
568	15443	11697
569	15467	11668
570	15490	11637
571	15512	11607
572	15535	11577
573	15561	11548
574	15581	11517
575	15615	11495
576	15639	11465
577	15662	11435
578	15692	11410
579	15722	11385
580	15747	11356
581	15775	11330
582	15805	11305
583	15829	11275
584	15854	11247
585	15876	11216
586	15898	11185
587	15923	11157
588	15944	11125
589	15968	11097
590	15994	11069
591	16019	11040
592	16044	11012
593	16075	10987
594	16098	10957
595	16131	10934
596	16166	10913
597	16200	10890
598	16228	10864
599	16257	10838
600	16281	10809
601	16305	10780
602	16329	10750
603	16353	10721
604	16376	10692
605	16400	10663
606	16424	10633
607	16447	10604
608	16471	10575
609	16497	10547
610	16522	10519
611	16549	10492
612	16577	10465
613	16608	10441
614	16637	10415
615	16666	10389
616	16693	10362
617	16723	10337
618	16747	10308
619	16771	10279
620	16794	10249
621	16819	10221
622	16844	10193
623	16866	10163
624	16889	10133
625	16910	10102
626	16933	10073
627	16959	10045
628	16982	10016
629	17006	9988
630	17030	9959
631	17058	9932
632	17087	9906
633	17118	9882
634	17154	9860
635	17190	9838
636	17217	9811
637	17245	9785
638	17273	9758
639	17296	9729
640	17320	9700
641	17344	9672
642	17368	9642
643	17392	9614
644	17416	9585
645	17440	9557
646	17466	9529
647	17491	9501
648	17514	9472
649	17537	9443
650	17561	9414
651	17583	9384
652	17608	9356
653	17632	9328
654	17659	9301
655	17688	9275
656	17718	9250
657	17748	9224
658	17778	9199
659	17807	9173
660	17832	9145
661	17856	9116
662	17878	9087
663	17901	9058
664	17926	9030
665	17950	9001
666	17972	8972
667	17996	8944
668	18021	8916
669	18046	8888
670	18068	8859
671	18092	8830
672	18113	8800
673	18142	8775
674	18171	8749
675	18200	8723
676	18221	8693
677	18252	8668
678	18284	8644
679	18313	8618
680	18344	8592
681	18373	8567
682	18398	8539
683	18424	8511
684	18449	8484
685	18473	8455
686	18498	8427
687	18525	8400
688	18552	8374
689	18577	8346
690	18602	8318
691	18626	8290
692	18650	8262
693	18676	8235
694	18704	8208
695	18728	8180
696	18754	8152
697	18778	8125
698	18804	8097
699	18830	8070
700	18855	8042
701	18879	8014
702	18908	7988
703	18936	7961
704	18963	7935
705	18994	7909
706	19023	7883
707	19048	7855
708	19074	7828
709	19098	7800
710	19123	7773
711	19147	7745
712	19169	7716
713	19194	7688
714	19223	7662
715	19252	7636
716	19282	7610
717	19313	7585
718	19343	7559
719	19368	7532
720	19392	7504
721	19415	7475
722	19440	7447
723	19463	7419
724	19486	7391
725	19512	7364
726	19539	7337
727	19564	7309
728	19593	7283
729	19622	7257
730	19651	7231
731	19681	7205
732	19710	7179
733	19736	7152
734	19762	7125
735	19786	7097
736	19812	7069
737	19841	7043
738	19869	7017
739	19895	6990
740	19921	6962
741	19949	6936
742	19975	6909
743	19997	6881
744	20017	6851
745	20052	6827
746	20079	6800
747	20104	6773
748	20128	6745
749	20156	6718
750	20186	6692
751	20217	6667
752	20247	6641
753	20280	6616
754	20311	6591
755	20341	6565
756	20371	6539
757	20399	6512
758	20425	6485
759	20454	6459
760	20497	6437
761	20531	6412
762	20560	6386
763	20586	6359
764	20615	6332
765	20642	6305
766	20667	6278
767	20689	6250
768	20713	6222
769	20735	6193
770	20760	6166
771	20785	6138
772	20809	6111
773	20834	6083
774	20864	6057
775	20892	6030
776	20920	6004
777	20950	5978
778	20978	5951
779	21002	5923
780	21026	5896
781	21049	5868
782	21073	5840
783	21096	5812
784	21119	5784
785	21142	5756
786	21173	5730
787	21200	5703
788	21231	5677
789	21257	5650
790	21282	5623
791	21309	5596
792	21341	5570
793	21371	5544
794	21398	5517
795	21428	5491
796	21456	5464
797	21487	5439
798	21517	5412
799	21542	5385
800	21566	5357
801	21591	5330
802	21617	5303
803	21644	5276
804	21671	5249
805	21702	5223
806	21732	5197
807	21760	5170
808	21789	5144
809	21818	5117
810	21846	5091
811	21870	5063
812	21893	5035
813	21916	5007
814	21940	4980
815	21963	4952
816	21987	4925
817	22010	4897
818	22035	4869
819	22057	4841
820	22080	4814
821	22104	4786
822	22124	4758
823	22148	4730
824	22178	4704
825	22206	4677
826	22235	4651
827	22276	4627
828	22301	4600
829	22325	4572
830	22350	4545
831	22374	4517
832	22398	4490
833	22422	4463
834	22446	4435
835	22476	4409
836	22504	4382
837	22535	4356
838	22565	4330
839	22596	4304
840	22624	4277
841	22649	4250
842	22672	4222
843	22693	4194
844	22722	4167
845	22753	4141
846	22783	4115
847	22812	4089
848	22837	4061
849	22862	4034
850	22883	4006
851	22906	3979
852	22929	3951
853	22953	3924
854	22978	3896
855	23003	3869
856	23027	3842
857	23045	3814
858	23066	3786
859	23091	3759
860	23114	3731
861	23139	3704
862	23164	3677
863	23189	3650
864	23212	3622
865	23241	3596
866	23271	3569
867	23301	3543
868	23332	3517
869	23363	3491
870	23387	3463
871	23410	3436
872	23435	3409
873	23459	3382
874	23490	3355
875	23519	3329
876	23550	3303
877	23584	3277
878	23613	3250
879	23641	3223
880	23671	3197
881	23699	3170
882	23728	3144
883	23758	3117
884	23793	3091
885	23822	3065
886	23854	3038
887	23879	3011
888	23906	2984
889	23934	2958
890	23957	2930
891	23978	2903
892	24003	2876
893	24041	2850
894	24073	2824
895	24106	2798
896	24136	2771
897	24160	2744
898	24183	2716
899	24202	2689
900	24225	2661
901	24248	2634
902	24282	2608
903	24317	2582
904	24353	2556
905	24388	2530
906	24417	2503
907	24443	2476
908	24466	2449
909	24492	2422
910	24516	2395
911	24546	2368
912	24579	2342
913	24613	2315
914	24638	2288
915	24669	2262
916	24701	2235
917	24722	2208
918	24752	2181
919	24783	2155
920	24815	2128
921	24845	2101
922	24878	2075
923	24907	2048
924	24939	2022
925	24969	1995
926	24998	1968
927	25023	1941
928	25049	1914
929	25074	1887
930	25104	1860
931	25134	1833
932	25164	1807
933	25200	1780
934	25234	1754
935	25261	1727
936	25291	1700
937	25323	1673
938	25353	1647
939	25384	1620
940	25412	1593
941	25443	1566
942	25468	1539
943	25498	1512
944	25523	1485
945	25550	1458
946	25583	1431
947	25613	1404
948	25644	1378
949	25677	1351
950	25708	1324
951	25738	1297
952	25768	1270
953	25800	1244
954	25823	1216
955	25852	1189
956	25882	1162
957	25918	1136
958	25952	1109
959	25983	1082
960	26011	1055
961	26039	1028
962	26064	1001
963	26087	974
964	26110	947
965	26132	919
966	26153	892
967	26181	865
968	26211	838
969	26244	811
970	26277	784
971	26308	757
972	26337	730
973	26355	703
974	26374	676
975	26399	649
976	26421	622
977	26441	594
978	26461	567
979	26482	540
980	26502	513
981	26528	486
982	26559	459
983	26590	432
984	26623	405
985	26653	378
986	26676	351
987	26699	324
988	26719	297
989	26742	270
990	26765	243
991	26786	216
992	26804	188
993	26826	161
994	26842	134
995	26869	107
996	26888	80
997	26926	53
998	26952	26
999	26985	0
