iter	Logloss
0	0.6707135993
1	0.6483192027
2	0.6373751762
3	0.6277524211
4	0.6181159224
5	0.6111221255
6	0.6051154857
7	0.5997348625
8	0.5961956954
9	0.5944259784
10	0.5910884395
11	0.5873784489
12	0.5860545188
13	0.5836990546
14	0.5819735532
15	0.5795121354
16	0.5776324572
17	0.5759306736
18	0.5754972163
19	0.5741941106
20	0.5727917978
21	0.5716397805
22	0.5709358567
23	0.5706231472
24	0.5703567022
25	0.5701077193
26	0.5694710528
27	0.5691950356
28	0.5686748999
29	0.5684659822
30	0.5680420082
31	0.567227773
32	0.5666155149
33	0.5662161541
34	0.5657701563
35	0.5652852527
36	0.564897145
37	0.5646713172
38	0.5645055808
39	0.5644699314
40	0.5643569303
41	0.5636731987
42	0.5634162015
43	0.5631518596
44	0.5631150602
45	0.5630501581
46	0.5622922473
47	0.5622327176
48	0.5620562019
49	0.561463895
50	0.5614185335
51	0.5613826009
52	0.5612299995
53	0.5609306646
54	0.560889919
55	0.5608153778
56	0.5607575435
57	0.5604921939
58	0.5604115779
59	0.5603988329
60	0.560213282
61	0.5595944036
62	0.559566718
63	0.5595499858
64	0.5593694462
65	0.5592958558
66	0.5592612801
67	0.5592053869
68	0.5591313062
69	0.5590685045
70	0.559010779
71	0.5589752677
72	0.55824331
73	0.5582252069
74	0.5581986527
75	0.5581653064
76	0.558141846
77	0.5581011028
78	0.5580246436
79	0.5579534975
80	0.5579327532
81	0.5578953575
82	0.5578699374
83	0.5578450497
84	0.5578256291
85	0.557752029
86	0.5576902304
87	0.5576715107
88	0.5576550837
89	0.5576399902
90	0.5575040148
91	0.5574956808
92	0.5574377779
93	0.5574064793
94	0.5574001666
95	0.557394231
96	0.5573323306
97	0.5573145112
98	0.5573072628
99	0.557259227
100	0.557248546
101	0.5572068605
102	0.5571951294
103	0.5571899281
104	0.5571845926
105	0.5571808095
106	0.5571703914
107	0.5571407262
108	0.5571371975
109	0.5569801984
110	0.5569618229
111	0.55694682
112	0.5569305665
113	0.5568582639
114	0.5567187389
115	0.5566780666
116	0.5566690884
117	0.5566550328
118	0.5566324498
119	0.5566270417
120	0.556555787
121	0.5565497483
122	0.5565288831
123	0.5565156929
124	0.5565088584
125	0.5564994993
126	0.5564880777
127	0.556480014
128	0.5564763101
129	0.5564206177
130	0.5564150581
131	0.5564071673
132	0.5564001465
133	0.5563251427
134	0.5563199607
135	0.5563149016
136	0.5562927925
137	0.5562869323
138	0.5562789978
139	0.5562754355
140	0.5561106468
141	0.5560602475
142	0.556057483
143	0.5560511797
144	0.5560179079
145	0.5560071668
146	0.5560044939
147	0.5560013433
148	0.555993504
149	0.5559799213
150	0.5559733356
151	0.5559569531
152	0.5559506855
153	0.5558807822
154	0.5558660002
155	0.5558631633
156	0.5558570211
157	0.5558351287
158	0.5558351274
159	0.5558295068
160	0.5558277732
161	0.5558190844
162	0.5558160007
163	0.5558099405
164	0.5557073767
165	0.5557049457
166	0.5556872569
167	0.5556851225
168	0.5556814534
169	0.555674144
170	0.5556710168
171	0.5556604585
172	0.5556394696
173	0.555638647
174	0.5556321186
175	0.5555328025
176	0.5555179399
177	0.5554992277
178	0.5554694554
179	0.5554669733
180	0.55545736
181	0.5554439565
182	0.5554359067
183	0.5554277901
184	0.5554242182
185	0.5554025564
186	0.5554005193
187	0.5553908808
188	0.555376596
189	0.5553708498
190	0.5553625498
191	0.5553533743
192	0.5553444568
193	0.5553374349
194	0.5553355758
195	0.5553340748
196	0.5552847991
197	0.5552736938
198	0.555268722
199	0.5552629324
200	0.5552595765
201	0.5552560818
202	0.5552554697
203	0.5552516714
204	0.5552472003
205	0.5551462709
206	0.5551427843
207	0.5551380938
208	0.5551319943
209	0.5550483028
210	0.5550395296
211	0.555023287
212	0.5550061469
213	0.5549981257
214	0.5549889572
215	0.5549804595
216	0.5549641588
217	0.5549535413
218	0.5549437237
219	0.5549357337
220	0.554917159
221	0.5549097408
222	0.554884116
223	0.5548618879
224	0.554845096
225	0.5548416654
226	0.5548315215
227	0.5548041501
228	0.5547882635
229	0.554783406
230	0.5547808512
231	0.5543463637
232	0.5543432281
233	0.5542682424
234	0.5542594863
235	0.5542500148
236	0.5542426105
237	0.5542344388
238	0.5542302586
239	0.5541218904
240	0.5540892803
